City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Kaitangata,NZ,2021-04-25 20:37:39,-46.2817,169.8464,43.39,65,84,7.65
262,Mao,ES,2021-04-25 20:40:11,39.8885,4.2658,59.0,82,0,14.97
263,Yeppoon,AU,2021-04-25 20:40:12,-23.1333,150.7333,62.6,82,14,6.91
264,Lavrentiya,RU,2021-04-25 20:36:15,65.5833,-171.0,29.88,84,94,1.72
265,Zamora,EC,2021-04-25 20:40:12,-4.0692,-78.9567,87.8,35,75,5.75
266,Manali,IN,2021-04-25 20:34:06,13.1667,80.2667,82.4,78,40,3.44
267,Saint-Pierre,RE,2021-04-25 20:40:13,-21.3393,55.4781,78.8,73,40,20.71
268,Yabrud,SY,2021-04-25 20:40:13,33.9674,36.6574,64.4,36,0,6.91
269,Saint-Philippe,RE,2021-04-25 20:33:54,-21.3585,55.7679,78.8,73,40,20.71
270,Bara,NG,2021-04-25 20:40:14,10.3744,10.7288,85.86,41,98,6.69
271,Souillac,MU,2021-04-25 20:32:16,-20.5167,57.5167,75.2,94,75,12.66
272,Cabo San Lucas,MX,2021-04-25 20:30:22,22.8909,-109.9124,84.99,32,75,9.22
273,Eyl,SO,2021-04-25 20:37:18,7.9803,49.8164,82.94,74,52,7.63
274,Coihaique,CL,2021-04-25 20:38:10,-45.5752,-72.0662,57.2,58,40,3.44
275,Sitka,US,2021-04-25 20:32:18,57.0531,-135.33,55.4,54,20,4.61
276,Rach Gia,VN,2021-04-25 20:40:15,10.0167,105.0833,77.0,94,62,2.3
277,Dabakala,CI,2021-04-25 20:40:16,8.3667,-4.4333,81.79,65,96,6.4
278,Carhuamayo,PE,2021-04-25 20:40:16,-10.9167,-76.0333,47.44,69,57,7.78
279,Grand Gaube,MU,2021-04-25 20:34:25,-20.0064,57.6608,78.01,83,100,5.01
280,Port Lincoln,AU,2021-04-25 20:34:10,-34.7333,135.8667,59.29,79,7,6.85
281,Rafai,CF,2021-04-25 20:40:17,4.95,23.9167,69.22,98,100,1.14
282,Axim,GH,2021-04-25 20:40:17,4.8699,-2.2405,80.65,82,99,5.88
283,Twentynine Palms,US,2021-04-25 20:39:47,34.1356,-116.0542,80.01,15,1,20.71
284,Kimbe,PG,2021-04-25 20:40:18,-5.5502,150.1429,76.66,89,94,1.57
285,Bilibino,RU,2021-04-25 20:35:36,68.0546,166.4372,19.31,90,98,3.27
